Method	GPS	TP	FP	FN	TN	PREC	REC	F1
LAM	50	16	1.12	34	948.88	0.9345794	0.32	0.476758040184623
LAM	50	7.6	0.8	42.4	949.2	0.9047619	0.152	0.260273972405705
LAM	50	13.84	0.98	36.16	949.02	0.9338731	0.2768	0.427028690205473
LAM	50	17.68	1.2	32.32	948.8	0.9364407	0.3536	0.513356565447896
LAM	50	21.16	1.46	28.84	948.54	0.9354553	0.4232	0.582759560809868
LAM	50	12.24	1.24	37.76	948.76	0.9080119	0.2448	0.385633273077767
LAM	50	17.5	1.2	32.5	948.8	0.9358289	0.35	0.509461429899421
LAM	50	21.4	1.34	28.6	948.66	0.941073	0.428	0.58839703069157
LAM	50	24.68	1.74	25.32	948.26	0.9341408	0.4936	0.645904212977594
ALT	50	0.02	0.08	49.98	949.92	0.2	0.0004	0.000798403193612774
ALT	50	0.02	0.08	49.98	949.92	0.2	0.0004	0.000798403193612774
ALT	50	0.1	0.06	49.9	949.94	0.625	0.002	0.00398724082934609
ALT	50	0.18	0.1	49.82	949.9	0.6428571	0.0036	0.00715990453194806
ALT	50	0.18	0.1	49.82	949.9	0.6428571	0.0036	0.00715990453194806
ALT	50	0.56	0.14	49.44	949.86	0.8	0.0112	0.0220907297830375
ALT	50	1.38	0.24	48.62	949.76	0.8518519	0.0276	0.0534676482932154
ALT	50	2.04	0.4	47.96	949.6	0.8360656	0.0408	0.0778032037749001
ALT	50	0.8	0.12	49.2	949.88	0.8695652	0.016	0.0314218381661791
ALT	50	2.74	0.38	47.26	949.62	0.8782051	0.0548	0.103162650407806
ALT	50	5.42	0.46	44.58	949.54	0.9217687	0.1084	0.193987115081248
ALT	50	9.34	0.48	40.66	949.52	0.9511202	0.1868	0.312270145762418
ALT	50	1.98	0.22	48.02	949.78	0.9	0.0396	0.0758620689655173
ALT	50	5.98	0.56	44.02	949.44	0.9143731	0.1196	0.211531659305257
ALT	50	10.8	0.48	39.2	949.52	0.9574468	0.216	0.352480417177839
ALT	50	16.2	0.46	33.8	949.54	0.972389	0.324	0.486048610409376
ALT	50	4.24	0.38	45.76	949.62	0.9177489	0.0848	0.155254485282464
ALT	50	9.84	0.56	40.16	949.44	0.9461538	0.1968	0.325827811832814
ALT	50	15.72	0.48	34.28	949.52	0.9703704	0.3144	0.474924474847802
ALT	50	19.68	0.32	30.32	949.68	0.984	0.3936	0.562285714285714
ALW	50	0.02	0.12	49.98	949.88	0.1428571	0.0004	0.000797766253819182
ALW	50	0.04	0.06	49.96	949.94	0.4	0.0008	0.00159680638722555
ALW	50	0.14	0.06	49.86	949.94	0.7	0.0028	0.00557768924302789
ALW	50	0.34	0.18	49.66	949.82	0.6538462	0.0068	0.0134600158450923
ALW	50	0.4	0.16	49.6	949.84	0.7142857	0.008	0.0158227848066215
ALW	50	1.24	0.38	48.76	949.62	0.7654321	0.0248	0.0480433940357523
ALW	50	2.74	0.7	47.26	949.3	0.7965116	0.0548	0.102544909948367
ALW	50	5.62	1.14	44.38	948.86	0.8313609	0.1124	0.19802677809602
ALW	50	1.78	0.38	48.22	949.62	0.8240741	0.0356	0.0682515338312507
ALW	50	5.2	0.72	44.8	949.28	0.8783784	0.104	0.185979971872346
ALW	50	10.26	1.34	39.74	948.66	0.8844828	0.2052	0.333116886051611
ALW	50	13.96	1.36	36.04	948.64	0.9112272	0.2792	0.427434175294382
ALW	50	5.64	0.78	44.36	949.22	0.8785047	0.1128	0.199929103856766
ALW	50	10.58	1.46	39.42	948.54	0.8787375	0.2116	0.341070274112373
ALW	50	15.3	1.56	34.7	948.44	0.9074733	0.306	0.457672747805823
ALW	50	19.82	1.3	30.18	948.7	0.938447	0.3964	0.557367834366036
ALW	50	10.42	1.3	39.58	948.7	0.8890785	0.2084	0.337653921056312
ALW	50	15.4	1.88	34.6	948.12	0.8912037	0.308	0.457788346717076
ALW	50	19.52	1.36	30.48	948.64	0.9348659	0.3904	0.550790067653593
ALW	50	23.16	1.5	26.84	948.5	0.9391727	0.4632	0.620412526056732
ALM	50	0.02	0.12	49.98	949.88	0.1428571	0.0004	0.000797766253819182
ALM	50	0.04	0.06	49.96	949.94	0.4	0.0008	0.00159680638722555
ALM	50	0.18	0.02	49.82	949.98	0.9	0.0036	0.00717131474103586
ALM	50	0.4	0.12	49.6	949.88	0.7692308	0.008	0.0158353127539464
ALM	50	0.44	0.14	49.56	949.86	0.7586207	0.0088	0.0173981811019692
ALM	50	1.44	0.2	48.56	949.8	0.8780488	0.0288	0.0557707204111645
ALM	50	3.36	0.22	46.64	949.78	0.9385475	0.0672	0.125419932935453
ALM	50	6.36	0.54	43.64	949.46	0.9217391	0.1272	0.223550086978357
ALM	50	1.98	0.3	48.02	949.7	0.8684211	0.0396	0.0757459833477438
ALM	50	5.64	0.36	44.36	949.64	0.94	0.1128	0.201428571428571
ALM	50	11.18	0.68	38.82	949.32	0.9426644	0.2236	0.361461363032259
ALM	50	14.54	0.98	35.46	949.02	0.9368557	0.2908	0.443833947188939
ALM	50	5.96	0.66	44.04	949.34	0.9003021	0.1192	0.210526315384735
ALM	50	11.52	0.78	38.48	949.22	0.9365854	0.2304	0.369823437653976
ALM	50	15.94	1.06	34.06	948.94	0.9376471	0.3188	0.475820900824237
ALM	50	20.16	1.3	29.84	948.7	0.9394222	0.4032	0.564231741498092
ALM	50	10.86	1.06	39.14	948.94	0.9110738	0.2172	0.350775191908205
ALM	50	16.26	1.2	33.74	948.8	0.9312715	0.3252	0.48206344799703
ALM	50	19.9	1.18	30.1	948.82	0.9440228	0.398	0.559932475662858
ALM	50	23.36	1.52	26.64	948.48	0.9389068	0.4672	0.623931634439148
GSA	100	0	0.02	50	949.98	0	0	0
GSA	100	0	0	50	950	0	0	0
GSA	100	0	0	50	950	0	0	0
GSA	100	0.06	0.02	49.94	949.98	0.75	0.0012	0.0023961661341853
GSA	100	0	0.02	50	949.98	0	0	0
GSA	100	0.02	0	49.98	950	1	0.0004	0.00079968012794882
GSA	100	0.74	0.12	49.26	949.88	0.8604651	0.0148	0.0290994887834554
GSA	100	5.72	0.56	44.28	949.44	0.910828	0.1144	0.203269366814016
GSA	100	0.02	0.02	49.98	949.98	0.5	0.0004	0.000799360511590727
GSA	100	0.76	0.14	49.24	949.86	0.8444444	0.0152	0.0298624754142527
GSA	100	7.08	0.6	42.92	949.4	0.921875	0.1416	0.245492371705964
GSA	100	25.8	3.66	24.2	946.34	0.8757637	0.516	0.649383324482453
GSA	100	0.16	0.06	49.84	949.94	0.7272727	0.0032	0.00637196336016391
GSA	100	4.8	0.32	45.2	949.68	0.9375	0.096	0.174165457184325
GSA	100	22.64	4.2	27.36	945.8	0.8435171	0.4528	0.589276409113171
GSA	100	49.86	18.86	0.14	931.14	0.725553	0.9972	0.8399595897961
GSA	100	1.08	0.08	48.92	949.92	0.9310345	0.0216	0.0422204847714417
GSA	100	9.16	0.9	40.84	949.1	0.9105368	0.1832	0.305028306188472
GSA	100	49.4	16.32	0.6	933.68	0.7516738	0.988	0.853785019237514
GSA	100	50	22.3	0	927.7	0.6915629	1	0.817661465618571
LAT	100	0.04	0.04	49.96	949.96	0.5	0.0008	0.00159744408945687
LAT	100	0.1	0.08	49.9	949.92	0.5555556	0.002	0.00398565165518919
LAT	100	0.48	0.2	49.52	949.8	0.7058824	0.0096	0.0189423836002116
LAT	100	1.32	0.7	48.68	949.3	0.6534653	0.0264	0.0507497115090298
LAT	100	1.44	0.24	48.56	949.76	0.8571429	0.0288	0.0557275542701454
LAT	100	4.2	1.9	45.8	948.1	0.6885246	0.084	0.149732620553443
LAT	100	11.4	3.1	38.6	946.9	0.7862069	0.228	0.35348837244156
LAT	100	18.42	5.62	31.58	944.38	0.766223	0.3684	0.49756888975457
LAT	100	8.12	2.52	41.88	947.48	0.7631579	0.1624	0.267810026709296
LAT	100	17.3	5.3	32.7	944.7	0.7654867	0.346	0.476584017064712
LAT	100	25.92	5.52	24.08	944.48	0.8244275	0.5184	0.636542245374034
LAT	100	34.9	3.98	15.1	946.02	0.8976337	0.698	0.785328515686276
LAT	100	19.06	3.76	30.94	946.24	0.8352323	0.3812	0.523482569083376
LAT	100	29.14	5.52	20.86	944.48	0.8407386	0.5828	0.688400660270118
LAT	100	34.68	4.42	15.32	945.58	0.8869565	0.6936	0.778451170078387
LAT	100	41.94	2.38	8.06	947.62	0.9462996	0.8388	0.889312959881902
LAT	100	29.36	3.76	20.64	946.24	0.8864734	0.5872	0.706448498670058
LAT	100	35.76	4.52	14.24	945.48	0.8877855	0.7152	0.792202037510632
LAT	100	40.36	3.08	9.64	946.92	0.9290976	0.8072	0.863869860466316
LAT	100	45.26	1.34	4.74	948.66	0.9712446	0.9052	0.937060025028184
LTT	100	0.02	0.2	49.98	949.8	0.0909091	0.0004	0.000796495420500257
LTT	100	0.08	0.24	49.92	949.76	0.25	0.0016	0.00317965023847377
LTT	100	0.24	0.2	49.76	949.8	0.5454545	0.0048	0.00951625693201964
LTT	100	0.46	0.2	49.54	949.8	0.6969697	0.0092	0.018160284248956
LTT	100	0.24	0.16	49.76	949.84	0.6	0.0048	0.00952380952380952
LTT	100	1.42	0.3	48.58	949.7	0.8255814	0.0284	0.0549110595617188
LTT	100	6	1.02	44	948.98	0.8547009	0.12	0.210452474189774
LTT	100	17.62	2.74	32.38	947.26	0.8654224	0.3524	0.500852757774861
LTT	100	2.18	0.38	47.82	949.62	0.8515625	0.0436	0.0829528158295282
LTT	100	11.52	1.5	38.48	948.5	0.8847926	0.2304	0.365598220504691
LTT	100	24.4	3.5	25.6	946.5	0.874552	0.488	0.626444166534562
LTT	100	36.62	2.88	13.38	947.12	0.9270886	0.7324	0.818324019387659
LTT	100	10.14	0.96	39.86	949.04	0.9135135	0.2028	0.331914892725028
LTT	100	26.5	3.1	23.5	946.9	0.8952703	0.53	0.665829153950658
LTT	100	37.04	3.36	12.96	946.64	0.9168317	0.7408	0.819469033271987
LTT	100	43.9	2.32	6.1	947.68	0.9498053	0.878	0.912492215007802
LTT	100	21.14	1.94	28.86	948.06	0.9159445	0.4228	0.578544053178183
LTT	100	35.92	3.04	14.08	946.96	0.9219713	0.7184	0.807553975029922
LTT	100	43	2.54	7	947.46	0.9442249	0.86	0.900146554900113
LTT	100	46.7	2.3	3.3	947.7	0.9530612	0.934	0.943434331435568
LAW	100	0.08	0.1	49.92	949.9	0.4444444	0.0016	0.0031885213220926
LAW	100	0.34	0.16	49.66	949.84	0.68	0.0068	0.0134653465346535
LAW	100	0.92	0.28	49.08	949.72	0.7666667	0.0184	0.0359375000366211
LAW	100	2.78	1.48	47.22	948.52	0.6525822	0.0556	0.102469591356575
LAW	100	2.58	1.04	47.42	948.96	0.7127072	0.0516	0.0962327491354262
LAW	100	7.52	3.5	42.48	946.5	0.6823956	0.1504	0.246476562172038
LAW	100	14.08	5.26	35.92	944.74	0.7280248	0.2816	0.406114793693657
LAW	100	21.3	7.24	28.7	942.76	0.746321	0.426	0.542398790092475
LAW	100	11.84	4.46	38.16	945.54	0.7263804	0.2368	0.357164408079733
LAW	100	19.68	6.94	30.32	943.06	0.7392938	0.3936	0.513704002405168
LAW	100	27.08	6.86	22.92	943.14	0.7978786	0.5416	0.645222775130562
LAW	100	35.04	4.8	14.96	945.2	0.8795181	0.7008	0.780053439215813
LAW	100	22.72	5.4	27.28	944.6	0.8079659	0.4544	0.581669237041336
LAW	100	29.44	6.4	20.56	943.6	0.8214286	0.5888	0.685927316578319
LAW	100	34.44	5.66	15.56	944.34	0.8588529	0.6888	0.764483919514511
LAW	100	40.66	3.46	9.34	946.54	0.9215775	0.8132	0.864003392942323
LAW	100	30.46	5	19.54	945	0.8589961	0.6092	0.712848132643861
LAW	100	35.46	5.48	14.54	944.52	0.8661456	0.7092	0.779854857905465
LAW	100	38.66	4.22	11.34	945.78	0.9015858	0.7732	0.832471997983264
LAW	100	42.92	2.94	7.08	947.06	0.9358918	0.8584	0.895472543674334
LAM	100	0.14	0.06	49.86	949.94	0.7	0.0028	0.00557768924302789
LAM	100	0.5	0.08	49.5	949.92	0.862069	0.01	0.0197706603491238
LAM	100	1.18	0.04	48.82	949.96	0.9672131	0.0236	0.0460757516427669
LAM	100	4.14	0.46	45.86	949.54	0.9	0.0828	0.151648351648352
LAM	100	3.56	0.28	46.44	949.72	0.9270833	0.0712	0.132243684653445
LAM	100	10.6	0.66	39.4	949.34	0.9413854	0.212	0.346065946040239
LAM	100	18.56	1.1	31.44	948.9	0.9440488	0.3712	0.532873954433564
LAM	100	26.82	2.04	23.18	947.96	0.9293139	0.5364	0.680192738787563
LAM	100	15.76	1.18	34.24	948.82	0.9303424	0.3152	0.470869437250791
LAM	100	25.3	1.8	24.7	948.2	0.9335793	0.506	0.656290522932637
LAM	100	31.98	2.22	18.02	947.78	0.9350877	0.6396	0.759619946126461
LAM	100	37.8	2.38	12.2	947.62	0.9407666	0.756	0.83832337293768
LAM	100	26.76	1.78	23.24	948.22	0.9376314	0.5352	0.681436212291509
LAM	100	33.68	2.5	16.32	947.5	0.9309011	0.6736	0.78161988291563
LAM	100	37.8	2.46	12.2	947.54	0.9388972	0.756	0.83758033608174
LAM	100	41.6	2.78	8.4	947.22	0.9373592	0.832	0.881542712638564
LAM	100	33.44	2.36	16.56	947.64	0.9340782	0.6688	0.779487175207698
LAM	100	38.42	2.88	11.58	947.12	0.9302663	0.7684	0.841621011637188
LAM	100	40.56	2.54	9.44	947.46	0.9410673	0.8112	0.871321166308359
LAM	100	43.16	2.96	6.84	947.04	0.9358196	0.8632	0.89804411104804
ALT	100	0.08	0.02	49.92	949.98	0.8	0.0016	0.0031936127744511
ALT	100	0.12	0.12	49.88	949.88	0.5	0.0024	0.00477707006369427
ALT	100	0.44	0.24	49.56	949.76	0.6470588	0.0088	0.0173638516095233
ALT	100	1.32	0.62	48.68	949.38	0.6804124	0.0264	0.0508278784016806
ALT	100	1.14	0.24	48.86	949.76	0.826087	0.0228	0.0443752433480546
ALT	100	4.12	1.52	45.88	948.48	0.7304965	0.0824	0.148094896705792
ALT	100	10.86	3.2	39.14	946.8	0.772404	0.2172	0.339057135581505
ALT	100	18.38	5.88	31.62	944.12	0.7576257	0.3676	0.495017501502143
ALT	100	7.66	2.44	42.34	947.56	0.7584158	0.1532	0.254908483508074
ALT	100	17.44	5.52	32.56	944.48	0.7595819	0.3488	0.478070179096212
ALT	100	25.92	5.8	24.08	944.2	0.8171501	0.5184	0.634361244613736
ALT	100	35.04	4.44	14.96	945.56	0.887538	0.7008	0.783191777065083
ALT	100	19.26	4.52	30.74	945.48	0.8099243	0.3852	0.522092706775354
ALT	100	29.24	5.7	20.76	944.3	0.8368632	0.5848	0.68848599212528
ALT	100	34.74	4.98	15.26	945.02	0.8746224	0.6948	0.774409290347837
ALT	100	41.86	2.58	8.14	947.42	0.9419442	0.8372	0.886488778413801
ALT	100	29.1	4.08	20.9	945.92	0.8770344	0.582	0.69968743821256
ALT	100	36.52	4.62	13.48	945.38	0.8877005	0.7304	0.801404418575978
ALT	100	39.78	3.68	10.22	946.32	0.9153244	0.7956	0.851273256305188
ALT	100	45.28	1.64	4.72	948.36	0.9650469	0.9056	0.934378874644916
ALW	100	0.1	0.08	49.9	949.92	0.5555556	0.002	0.00398565165518919
ALW	100	0.16	0.12	49.84	949.88	0.5714286	0.0032	0.00636435958808872
ALW	100	0.7	0.32	49.3	949.68	0.6862745	0.014	0.0274402195139192
ALW	100	1.7	0.82	48.3	949.18	0.6746032	0.034	0.0647372430720042
ALW	100	1.78	0.74	48.22	949.26	0.7063492	0.0356	0.0677837014178329
ALW	100	5.62	2.76	44.38	947.24	0.6706444	0.1124	0.192531689288628
ALW	100	11.98	4.34	38.02	945.66	0.7340686	0.2396	0.36127864565007
ALW	100	17.94	6.52	32.06	943.48	0.7334424	0.3588	0.481869469853945
ALW	100	9.98	3.56	40.02	946.44	0.7370753	0.1996	0.314132826775725
ALW	100	18.08	6.04	31.92	943.96	0.7495854	0.3616	0.487857526997745
ALW	100	25.5	6.56	24.5	943.44	0.7953837	0.51	0.621496479540843
ALW	100	33.62	5.34	16.38	944.66	0.8629363	0.6724	0.755845306490832
ALW	100	20.52	5.24	29.48	944.76	0.7965839	0.4104	0.541710676604717
ALW	100	28.1	6.12	21.9	943.88	0.8211572	0.562	0.667299922814269
ALW	100	32.84	6.1	17.16	943.9	0.8433487	0.6568	0.738475360689244
ALW	100	39.72	3.76	10.28	946.24	0.9135235	0.7944	0.849807463156283
ALW	100	28.52	4.76	21.48	945.24	0.8569712	0.5704	0.684918362483424
ALW	100	34.5	5.3	15.5	944.7	0.8668342	0.69	0.76837417626103
ALW	100	37.34	5.08	12.66	944.92	0.8802452	0.7468	0.808050219330108
ALW	100	42.5	3.08	7.5	946.92	0.9324265	0.85	0.889307385185308
ALM	100	0.16	0.04	49.84	949.96	0.8	0.0032	0.00637450199203187
ALM	100	0.22	0.08	49.78	949.92	0.7333333	0.0044	0.00874751490816532
ALM	100	0.94	0.1	49.06	949.9	0.9038462	0.0188	0.0368338558376981
ALM	100	2.48	0.14	47.52	949.86	0.9465649	0.0496	0.0942607374341337
ALM	100	2.42	0.1	47.58	949.9	0.9603175	0.0484	0.09215536956581
ALM	100	8.02	0.56	41.98	949.44	0.9347319	0.1604	0.273813586765211
ALM	100	15.76	0.9	34.24	949.1	0.9459784	0.3152	0.472847285808257
ALM	100	23.1	1.66	26.9	948.34	0.9329564	0.462	0.617977532201006
ALM	100	13.12	0.94	36.88	949.06	0.9331437	0.2624	0.409615987905754
ALM	100	22.82	1.66	27.18	948.34	0.9321895	0.4564	0.612781945708217
ALM	100	30.34	2.16	19.66	947.84	0.9335385	0.6068	0.735515163452709
ALM	100	36.66	2.58	13.34	947.42	0.9342508	0.7332	0.821604675304363
ALM	100	24.48	1.6	25.52	948.4	0.9386503	0.4896	0.643533121442369
ALM	100	32.32	2.28	17.68	947.72	0.934104	0.6464	0.764066178383604
ALM	100	36.56	2.6	13.44	947.4	0.9336057	0.7312	0.820098691204625
ALM	100	40.86	2.82	9.14	947.18	0.9354396	0.8172	0.872331357935767
ALM	100	31.58	2.2	18.42	947.8	0.9348727	0.6316	0.753879205580793
ALM	100	37.36	2.76	12.64	947.24	0.9312064	0.7472	0.829116740832256
ALM	100	39.62	3.04	10.38	946.96	0.9287389	0.7924	0.855169451297626
ALM	100	42.82	3.02	7.18	946.98	0.9341187	0.8564	0.893572633092299
